City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,wenling,28.3669,121.36,20.16,85,100,10.57,CN,1727793164
171,praia,14.9215,-23.5087,30.3,74,75,6.17,CV,1727793165
172,ribeira grande,38.5167,-28.7,25.22,88,40,8.23,PT,1727793166
173,harper,4.375,-7.7169,26.13,80,78,5.29,LR,1727793167
174,takoradi,4.8845,-1.7554,26.59,76,91,5.76,GH,1727793004
175,petrov val,50.1434,45.2096,18.04,24,0,4.57,RU,1727793170
176,chiredzi,-21.05,31.6667,26.3,41,30,6.19,ZW,1727793172
177,weno,7.4515,151.8468,27.97,83,40,2.57,FM,1727793174
178,saipan,15.1355,145.701,29.39,84,40,4.12,MP,1727793175
179,longyearbyen,78.2186,15.6401,-5.09,86,20,2.06,SJ,1727793176
180,port lincoln,-34.7333,135.8667,12.97,85,0,4.65,AU,1727793179
181,quellon,-43.1167,-73.6167,6.58,84,99,4.24,CL,1727793181
182,singkil,-7.9855,111.4161,25.6,84,100,2.39,ID,1727793182
183,yigo village,13.5361,144.8886,27.16,93,75,3.09,GU,1727793183
184,yeppoon,-23.1333,150.7333,21.88,76,6,6.87,AU,1727793184
185,rabo de peixe,37.8,-25.5833,24.73,88,75,7.2,PT,1727793186
186,qaqortoq,60.7167,-46.0333,6.13,77,65,1.9,GL,1727793187
187,hasaki,35.7333,140.8333,23.22,90,100,4.91,JP,1727793131
188,sandnessjoen,66.0217,12.6316,8.07,76,75,2.57,NO,1727793189
189,kibaya,-5.3,36.5667,26.6,31,79,4.35,TZ,1727793190
190,tamandare,-8.7597,-35.1047,27.33,58,85,4.17,BR,1727793192
191,guerrero negro,27.9769,-114.0611,20.22,81,0,2.49,MX,1727793193
192,sirte,31.2089,16.5887,25.42,53,2,4.39,LY,1727793194
193,udachny,66.4167,112.4,1.62,99,100,3.92,RU,1727793195
194,barcelos,41.5388,-8.6151,21.03,97,100,2.03,PT,1727793197
195,santa cruz,-17.8,-63.1667,30.03,58,38,11.83,BO,1727793198
196,biankouma,7.7391,-7.6138,26.04,85,88,0.32,CI,1727793199
197,tazovsky,67.4667,78.7,2.32,97,100,7.8,RU,1727793200
198,kapuskasing,49.4169,-82.4331,11.05,93,100,6.17,CA,1727793203
199,ta`u,-14.2336,-169.5144,23.79,92,100,7.0,AS,1727793204
200,beau vallon,-20.4189,57.6953,23.45,78,40,5.14,MU,1727793205
201,viedma,-40.8135,-62.9967,11.0,49,94,4.24,AR,1727793207
